time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
3.899999999999481e-06,78,3.000000000000000e+02,3.269349081789548e+02,3.000301489943744e+02,7.095571279064530e-06,1.214809305751102e+09,6.758570342377808e-02,1.780815168039404e+14,4
3.949999999999506e-06,79,3.000000000000000e+02,3.273878530584726e+02,3.000315648471265e+02,7.192770565807016e-06,1.215427599366261e+09,6.868429100793273e-02,1.790833516092134e+14,4
3.999999999999531e-06,80,3.000000000000000e+02,3.278256483768883e+02,3.000330422412113e+02,7.290446357114456e-06,1.215899966767478e+09,6.974449598417425e-02,1.796651106530500e+14,4
4.049999999999555e-06,81,3.000000000000000e+02,3.282587058563892e+02,3.000346039615164e+02,7.388576613335143e-06,1.217438500236677e+09,7.079076446083572e-02,1.803082581023893e+14,4
4.099999999999580e-06,82,3.000000000000000e+02,3.286988370729908e+02,3.000362792716185e+02,7.487894319971576e-06,1.219519596616101e+09,7.185048441411719e-02,1.807878145053491e+14,4
4.149999999999605e-06,83,3.000000000000000e+02,3.291481321002949e+02,3.000380775346797e+02,7.587251794950581e-06,1.221373547362636e+09,7.292941680224525e-02,1.810025743950572e+14,4
4.199999999999630e-06,84,3.000000000000000e+02,3.296053649415645e+02,3.000399887764609e+02,7.686615032102586e-06,1.222643961944136e+09,7.402433003318552e-02,1.808591286328774e+14,5
4.249999999999655e-06,85,3.000000000000000e+02,3.300099944316468e+02,3.000416643612799e+02,7.782527035296748e-06,1.215590267952934e+09,7.500283845244965e-02,1.792595640960449e+14,5
4.299999999999680e-06,86,3.000000000000000e+02,3.303004101364971e+02,3.000430634230975e+02,7.875624033363098e-06,1.208412645675444e+09,7.572472027795521e-02,1.785798253720487e+14,5
4.349999999999705e-06,87,3.000000000000000e+02,3.305360423096992e+02,3.000443759476673e+02,7.967446436391966e-06,1.204581203364463e+09,7.632246525601850e-02,1.781677175657362e+14,5
4.399999999999730e-06,88,3.000000000000000e+02,3.307402705835234e+02,3.000456615281073e+02,8.058957664563808e-06,1.201435512146044e+09,7.684675927267465e-02,1.778198904174027e+14,5
4.449999999999755e-06,89,3.000000000000000e+02,3.309226179046302e+02,3.000469404538465e+02,8.149966069820198e-06,1.199346006972609e+09,7.731988477016428e-02,1.774181049413431e+14,5
4.499999999999780e-06,90,3.000000000000000e+02,3.310917778467424e+02,3.000482216033263e+02,8.238347808798245e-06,1.198913616077880e+09,7.776477718501108e-02,1.771632111081502e+14,5
4.549999999999805e-06,91,3.000000000000000e+02,3.312564591666145e+02,3.000495610398034e+02,8.326097461482628e-06,1.198567533740682e+09,7.820030808287479e-02,1.771052747902705e+14,5
4.599999999999830e-06,92,3.000000000000000e+02,3.314176671873411e+02,3.000510294257917e+02,8.414546581927203e-06,1.199005959116986e+09,7.862508889771151e-02,1.775511930205969e+14,5
4.649999999999855e-06,93,3.000000000000000e+02,3.315901260829177e+02,3.000527341540638e+02,8.505004217412565e-06,1.202385176405595e+09,7.907211057796446e-02,1.785135116864365e+14,5
4.699999999999880e-06,94,3.000000000000000e+02,3.317801194020845e+02,3.000547034236497e+02,8.597921707813696e-06,1.204876265454505e+09,7.955509815533350e-02,1.792467172002222e+14,5
4.749999999999905e-06,95,3.000000000000000e+02,3.319835269613973e+02,3.000568978845989e+02,8.692155370288769e-06,1.207531558091416e+09,8.006525325997081e-02,1.797887617010040e+14,5
