running model 1
feed: 0.000100, dt 7.641171e-10, num_part 6231
<<< single-resolution simulation >>>
starting simulation: particles=6231 dt=7.641171e-10 t_final=2.160000e+04 steps=160644 print_every=1070
000141: #increments 150870, cur time 1.152823e-04, pctg done 93.915739, seconds left: 149.515430
000142: #increments 151940, cur time 1.161000e-04, pctg done 94.581808, seconds left: 133.183552
000143: #increments 153010, cur time 1.169176e-04, pctg done 95.247877, seconds left: 116.861016
000144: #increments 154080, cur time 1.177352e-04, pctg done 95.913946, seconds left: 100.514636
000145: #increments 155150, cur time 1.185528e-04, pctg done 96.580015, seconds left: 84.155756
000146: #increments 156220, cur time 1.193704e-04, pctg done 97.246085, seconds left: 67.788559
000148: #increments 157290, cur time 1.482000e+03, pctg done 97.912154, seconds left: 51.377670
000149: #increments 158360, cur time 7.902000e+03, pctg done 98.578223, seconds left: 34.884430
000150: #increments 159430, cur time 1.432200e+04, pctg done 99.244292, seconds left: 18.487386
000151: #increments 160500, cur time 2.074200e+04, pctg done 99.910361, seconds left: 2.186545
Runtime: 2438.314734
