time_s,max_T_C,min_T_C,max_abs_dTdt_C_per_min,conv_ramp
1188,750.342,26.9729,2035.62,3.62239e-05
1194,750.161,26.9731,2034.37,3.6231e-05
1200,749.98,26.9733,2033.11,3.6238e-05
1206,749.799,26.9736,2031.84,3.6245e-05
1212,749.618,26.9738,2030.57,3.62521e-05
1218,749.435,26.974,2029.3,3.62592e-05
1224,749.253,26.9742,2028.02,3.62663e-05
1230,749.07,26.9745,2026.73,3.62734e-05
1236,748.887,26.9747,2025.44,3.62806e-05
1242,748.703,26.9749,2024.15,3.62878e-05
1248,748.519,26.9752,2022.85,3.62949e-05
1254,748.335,26.9754,2021.54,3.63021e-05
1260,748.15,26.9757,2020.23,3.63094e-05
1266,747.965,26.9759,2018.92,3.63166e-05
1272,747.779,26.9761,2017.6,3.63239e-05
1278,747.593,26.9764,2016.27,3.63312e-05
1284,747.406,26.9766,2014.94,3.63385e-05
1290,747.22,26.9769,2013.6,3.63458e-05
1296,747.032,26.9771,2012.26,3.63531e-05
1302,746.844,26.9774,2010.92,3.63605e-05
1308,746.656,26.9776,2009.56,3.63679e-05
1314,746.468,26.9779,2008.21,3.63753e-05
1320,746.279,26.9781,2006.84,3.63827e-05
1326,746.089,26.9784,2005.48,3.63902e-05
1332,745.899,26.9786,2004.1,3.63976e-05
1338,745.709,26.9789,2002.72,3.64051e-05
1344,745.518,26.9791,2001.34,3.64126e-05
1350,745.327,26.9794,1999.95,3.64202e-05
1356,745.135,26.9797,1998.56,3.64277e-05
1362,744.943,26.9799,1997.15,3.64353e-05
1368,744.75,26.9802,1995.75,3.64429e-05
1374,744.557,26.9805,1994.34,3.64505e-05
1380,744.364,26.9807,1992.92,3.64581e-05
1386,744.17,26.981,1991.5,3.64658e-05
1392,743.975,26.9813,1990.07,3.64735e-05
1398,743.78,26.9816,1988.63,3.64812e-05
1404,743.585,26.9818,1987.19,3.64889e-05
1410,743.389,26.9821,1985.75,3.64967e-05
1416,743.193,26.9824,1984.29,3.65044e-05
1422,742.996,26.9827,1982.84,3.65122e-05
1428,742.799,26.983,1981.37,3.65201e-05
1434,742.601,26.9832,1979.9,3.65279e-05
1440,742.403,26.9835,1978.43,3.65358e-05
1446,742.204,26.9838,1976.95,3.65437e-05
1452,742.005,26.9841,1975.46,3.65516e-05
1458,741.805,26.9844,1973.97,3.65595e-05
1464,741.605,26.9847,1972.47,3.65675e-05
1470,741.404,26.985,1970.96,3.65755e-05
1476,741.203,26.9853,1969.45,3.65835e-05
1482,741.001,26.9856,1967.93,3.65915e-05
1488,740.799,26.9859,1966.41,3.65996e-05
1494,740.596,26.9862,1964.88,3.66077e-05
1500,740.393,26.9865,1963.34,3.66158e-05
1506,740.189,26.9868,1961.8,3.66239e-05
1512,739.985,26.9871,1960.25,3.66321e-05
1518,739.78,26.9875,1958.7,3.66403e-05
